username|password|mac_address|ip_address|1,15,3,6,44,46,47,31,33,121,249,43|MSFT 5.0
dmoreno0|zayEtTVvgmitte%|bf:7c:0d:4b:9c:08|254.41.48.177|1,3,6,15,119,95,252,44,46|
vfuller1|zay1dQLZqDRmitte%|94:0f:0f:68:3d:77|20.225.10.193|1,121,3,6,15,119,252|
rdunn2|zay6QKaFWmitte%|2c:66:1d:ba:98:a4|150.0.48.149|1,3,6,15,119,252|
shenderson3|zayp6cwncSB9yRHmitte%|fc:a6:63:4c:fd:1c|72.228.69.151||
bramirez4|zay9nKpSGbomitte%|4e:6e:72:6d:dd:3c|19.54.45.18|1,3,6,15,119,252|
ablack5|zaynoIWmehvOjmitte%|b0:50:b7:47:c9:b7|236.77.204.125||
jfoster6|zaybkCYY0Imitte%|fe:95:d6:16:5d:d4|185.163.247.51|1,33,3,6,15,28,51,58,59|dhcpcd-5.5.6
jedwards7|zayLv2QHgmitte%|bd:f6:2d:39:f4:2f|197.186.39.113|1,28,2,3,15,6,119,12,44,47,26,121,42,121,249,33,252,42|
wcook8|zayg8zSRHXLKTPmitte%|7b:a2:00:00:10:98|86.101.199.76|1,15,3,6,44,46,47,31,33,121,249,252,43|MSFT 5.0
njenkins9|zay4DnmnZOHvkhmitte%|3d:ee:92:18:8f:48|115.183.114.44|1,33,3,6,15,28,51,58,59|dhcpcd-5.5.6
cevansa|zayOK9uGENmitte%|14:84:eb:24:84:a4|133.50.110.203|1,33,3,6,15,26,28,51,58,59|dhcpcd-5.5.6
jromerob|zay73tcurqfmitte%|b4:0e:c5:c5:67:3d|199.190.35.149|1,33,3,6,15,26,28,51,58,59|dhcpcd-5.5.6
lsimpsonc|zayPCxgFkC2Ymitte%|d7:09:26:76:c3:cc|68.12.222.233||
mwalkerd|zay0jIX4s7cmitte%|d0:bf:be:37:59:e6|247.254.245.56|1,33,3,6,15,26,28,51,58,59|dhcpcd-5.5.6
egonzalese|zayTFei2ODmitte%|36:52:3b:11:0a:b2|216.161.4.54|1,33,3,6,15,28,51,58,59|dhcpcd-5.5.6
twashingtonf|zayE2mR9iwfd2gHmitte%|b3:2d:62:21:85:a3|46.174.146.72|1,3,6,15,119,252|
pwilliamsg|zay96r7yRJySpmitte%|21:69:d8:f0:32:75|7.236.56.35|1,33,3,6,15,28,51,58,59|dhcpcd-5.5.6
kcolemanh|zayADAhP0mitte%|19:23:39:b5:7e:23|99.74.82.77|1,121,33,3,6,12,15,26,28,42,51,54,58,59,119|dhcpcd-6.9.3:Linux-4.2.3-1-ARCH:x86_64:GenuineIntel
